Sample	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18
dq705907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pycard	227.5367222	52.65992353	118.2028482	38.02507342	82.98172848	97.55928614	236.0067616	135.5070637	97.36495775	67.40601506	47.57435177	0.692615252	0.297735115	235.0908213	55.28669404	0.219209874	18.30606409	119.0370443
zfp455	0.0	0.0	0.0	0.0	0.040412766	68.59656972	0.052172774	0.100141075	4.872837326	0.05065659	0.0	0.0	0.0	0.0	0.0	5.658511187	0.0	0.0
zfp454	0.0	0.0	0.0	0.0	0.0	0.0	0.152632034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
zfp457	0.0	0.211644975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.280404311	0.073989469	0.0	0.068319076	0.0	0.0	0.0
zfp456	0.0	0.0	0.0	0.030912618	0.100813314	1.824564608	0.0	0.155957058	3.346669041	0.0	0.0	0.0	0.0	0.0	0.0	13.89648716	0.0	0.056122472
ak134270	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq691629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq691628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
zfp459	0.0	0.0	0.030995127	0.0	0.031145243	4.956471597	0.080381233	0.038573132	0.0	0.0	0.063844594	0.437931513	0.281563529	0.0	0.042651115	0.27449383	0.0	0.0
zfp458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036661526	0.0	0.0	0.0	0.131603785	0.0	0.0	0.0	0.0	0.0	0.0
ak171953	55.68432362	18.59319112	0.096418423	0.036554751	0.089370211	0.0	0.206652962	0.147572334	0.0	0.038309805	0.16680775	0.250584008	0.044838537	0.120175887	0.203858111	1.843353311	18.30927396	0.0
ak006812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a930003a15rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.302758406	0.0	0.0	1.738742384
cpsf3l	14.53123184	0.0	0.044504449	0.054888632	0.0	0.0	0.0	0.0	0.06872243	0.056088272	0.0	0.125379089	0.067357459	0.060131338	0.122484073	0.0	31.72717115	0.0
ak044422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1110020g09rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
arntl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ak079657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cops8	95.0136547	190.1065685	118.4923209	366.0628139	96.6417481	124.0806974	116.5287503	2.721816401	388.2684387	0.145130687	0.1776791	0.0	0.087026455	0.543683445	158.4945372	0.0	0.082340959	57.17152653
cops2	60.47714046	0.983028982	2.896643996	0.117252422	81.18689731	0.126789252	0.122482843	69.46878211	6.817106326	73.43376269	0.097283982	317.5358261	1.006808586	229.7135951	143.545521	61.26212845	0.096443889	63.24552396
cops3	178.4659263	0.0	0.0	0.0	133.7359225	0.085800045	0.0	0.0	129.1332154	0.0	0.0	0.0	0.103663099	0.0	0.0	0.203449175	0.0	0.077025627
cops6	127.5357325	0.0	0.202622629	0.250113483	0.203481689	17.99370847	0.658664655	0.0	140.5148091	0.0	0.731761337	0.0	0.30748597	0.41125576	0.139762256	73.27356681	0.43700075	0.11457552
cops4	0.0	0.086098612	0.0	131.6067254	183.232692	0.075965913	142.1918692	0.151047472	288.7007812	0.0	0.062442438	0.0	0.275273796	71.81274248	0.08342337	90.59649044	0.0	0.0
cops5	0.158839893	81.7834484	0.176545817	153.8246447	157.6318729	99.88797882	342.3345506	101.9583254	0.136682241	228.4645725	0.182104279	0.248723862	0.267749587	0.477610333	1.162063212	0.262638262	0.126790034	0.099651699
mir681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir682	65.91192008	16.88488712	47.10112149	20.98543522	23.567279	64.21798562	46.15239666	8.509456651	89.36488059	33.96650399	77.2565559	33.55085297	75.05141259	24.36180286	0.0	118.1387206	50.48813163	45.62635737
rfc3	1.622792935	0.298326802	0.270582584	0.0	3.546300375	0.131401907	0.117226214	99.85696301	0.0	0.114464351	0.0	409.9265838	428.8203113	0.283433752	0.288986745	7.490395828	0.0	0.203694905
mir687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dctn2	0.0	0.078257162	0.0	0.0	14.33166564	1.795581606	0.0	0.068642	0.170213143	0.0	0.0	0.15517415	0.0	0.074438353	0.075827903	0.900509664	0.0	0.0
dctn3	0.0	0.18355014	0.0	0.0	64.45606048	0.304310976	99.1313476	63.96938843	95.0548742	0.0	0.120259902	0.656595199	0.19557887	0.473103632	0.0	0.383379563	174.0810279	73.0125237
rfc2	171.0246431	593.026503	0.0	0.0	106.9617587	0.354931394	0.0	0.0	625.4464022	180.480989	0.07294587	0.398686707	0.214429457	34.15056979	0.0	41.76633968	2.131178778	164.1435076
dctn6	10.69905812	0.16642634	127.5182465	0.288356928	441.3460417	150.942657	0.0	8.471519415	0.36228034	383.4679435	137.4264767	0.329068855	194.7179785	93.89515263	203.0566386	0.347707617	0.0	103.4937106
dctn4	3.838981734	115.1981672	11.45012509	115.3696691	71.36336099	55.1943048	65.37628382	0.210996359	35.04830772	0.089588747	0.540291655	0.155572375	322.9159874	6.675270717	4.57790874	118.9244373	19.01084722	0.234316064
loc100270707	0.0	0.0	0.0	0.0	0.0	0.988772792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dync2li1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bcl10	17.73220516	0.0	0.120720504	8.488647639	32.92628921	0.302756172	1.175383089	0.150495473	0.093298741	0.076254434	1.119864322	0.0	223.9154442	0.897465416	0.0	0.0	2.854780931	13.23687998
dq699411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
smarcc2	17.87084621	0.038684762	0.0	0.0	0.0	0.034172561	0.0	1.573676447	0.0	0.0	0.028077531	0.0	0.0	0.0	0.0	16.68639322	0.0	0.0
bc031353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
smarcc1	0.0	0.0	0.0	0.0	0.054018512	1.415751384	1.462472534	0.0	0.0	0.0	0.0	0.0	0.0	0.045098706	0.0	0.0	0.0	0.0
tpbg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000231659	0.0	0.0
mir669b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir669c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq697701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir669g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir669h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir669i	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir669j	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir669k	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
car14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
car15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq549792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gpam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq709199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bc003266	0.196493757	0.0	0.0	0.0	99.6235699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165973875	0.0	0.0	0.0	0.0	0.0
ak051166	0.164829983	0.239712927	0.097909965	0.106820476	0.041436865	0.0	0.081922094	0.079412378	0.136479209	0.202125572	0.022763502	6.14848975	0.370006	0.240478892	0.289179716	1.355115242	0.374533635	0.201925723
ab349505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir3059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mir3058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pdyn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
supt7l	56.36128593	0.450664597	0.231612895	0.381258512	0.307578607	0.269709026	0.991794831	0.091352144	0.441740545	0.255567019	0.129480439	0.562232117	0.393257999	161.8531407	0.423509734	1.044178134	0.326560259	0.03828561
e130114p18rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cald1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq540165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dq704470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
susd3	87.00645286	0.0	0.0	0.0	1.355397923	0.0	0.0	0.0	0.0	0.0	0.397831993	0.0	0.0	2.608498836	0.119679092	0.0	0.0	0.54474629
dq566704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bsnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pnma1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pnma3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033828715
pnma2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pnma5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miip	0.105407507	1.911397267	0.0	0.0	0.11749785	58.92010251	0.0	92.60536941	0.271141348	0.073856825	0.0	281.1394448	212.4260531	0.402638358	0.080521713	80.49692914	0.0	0.189552968
ak139544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gm9199	0.304503328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.059473559	0.0	0.0	0.0	0.0
phldb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700012d14rik	0.059508728	0.126986082	0.043386292	0.030650048	0.149978416	0.063151033	0.077433558	0.0	0.092104672	0.142819419	0.09589044	0.53663973	0.341357916	0.130956641	0.163267156	0.146962568	0.043582404	0.011932158
9030624j02rik	0.220468993	336.6445256	102.1162988	135.5031681	54.45033276	141.4905456	0.088722251	195.1402859	235.8347959	0.153911182	0.088685142	0.344243519	48.36920206	0.23260646	79.67638945	30.34124949	0.116573859	104.2235613
vmn1r204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.185895977	0.0	0.0
vmn1r205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn1r206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
col13a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn1r200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn1r201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn1r202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn1r203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gm14851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gm14850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nufip2	20.86419897	184.5885604	32.44327002	14.9780928	32.9369262	32.0096198	16.73784749	9.52925828	29.19692017	0.09696168	10.14836112	156.7108635	7.271358686	0.678640372	65.14174356	15.90459263	42.74257291	12.0397429
vmn1r209	0.0	0.0	0.0	0.0	0.0	0.754926756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nufip1	0.0	0.0	0.0	0.0	0.0	0.032278113	4.473918021	0.0	0.0	0.0	0.0	0.072548361	0.0	0.0	0.0	0.0	0.0	0.0
vmn2r79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn2r78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ak016265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn2r75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.962894493	0.683020373
vmn2r74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.110847352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174288923	0.045534758
vmn2r77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
urm1	0.0	1.878253058	10.72563608	0.0	0.0	0.0	20.46139065	0.0	0.075647578	0.0	0.0	43.60079982	36.9216504	0.0	0.134815602	0.072781707	0.0	0.0
vmn2r71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn2r70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vmn2r73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.618886677	0.051261478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045647147
olfr398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.86575178	0.0
olfr392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.519727691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
uox	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mboat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mboat7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085764319	0.0	0.0	0.0	39.84798373	0.0	0.0
4833420g17rik	0.0	25.71483898	0.040400384	0.082519795	2.232631046	66.75143273	0.179755246	0.045861631	0.0	0.0	0.589041956	0.0	0.0	0.054580479	0.055584501	0.0	0.0	0.0
kifap3	0.0	0.050513453	0.0355863	0.0	0.0	0.044608341	0.0	0.044299361	0.054920809	0.0	0.0	0.0	0.0	0.0	0.048950787	0.0	0.0	51.81165476
gm8579	0.0	0.457700475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.382732588	0.0	0.477657686	0.0	0.0
folh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xlr5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xlr5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
xlr5c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
olfr649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nol7	0.105531202	1.697288136	0.0	0.0	0.0	0.513902755	0.0	0.0	0.0	0.0	0.362063068	0.0	0.0	18.53091721	0.0	18.10212311	0.0	0.065827299
cip7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5730437n04rik	0.0	0.0	1.853168605	121.1787514	101.0017644	25.43620035	0.150688513	0.185542345	0.0	0.0	0.0	0.0	206.2806204	0.156780211	0.0	0.0	0.0	184.4046427
